Date-Time,Site_ID,Inverter_ID,Ambient_Temp,Module_Temp,POA_Irradiance,AC_Power,DC_Power
2023-06-01 00:00:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:00:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:15:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:15:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:30:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:30:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:45:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 00:45:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:00:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:00:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:15:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:15:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:30:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:30:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:45:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 01:45:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:00:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:00:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:15:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:15:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:30:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:30:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:45:00,NREL_SITE_01,INV_01,20.0,19.5,0.0,0.0,0.0
2023-06-01 02:45:00,NREL_SITE_01,INV_02,20.0,19.5,0.0,0.0,0.0
